Entity,Code,Day,stringency_index
Afghanistan,AFG,2020/1/21,0
Afghanistan,AFG,2020/1/22,0
Afghanistan,AFG,2020/1/23,0
Afghanistan,AFG,2020/1/24,0
Afghanistan,AFG,2020/1/25,0
Afghanistan,AFG,2020/1/26,0
Afghanistan,AFG,2020/1/27,0
Afghanistan,AFG,2020/1/28,0
Afghanistan,AFG,2020/1/29,0
Afghanistan,AFG,2020/1/30,0
Afghanistan,AFG,2020/1/31,0
Afghanistan,AFG,2020/2/1,0
Afghanistan,AFG,2020/2/2,0
Afghanistan,AFG,2020/2/3,0
Afghanistan,AFG,2020/2/4,0
Afghanistan,AFG,2020/2/5,0
Afghanistan,AFG,2020/2/6,0
Afghanistan,AFG,2020/2/7,0
Afghanistan,AFG,2020/2/8,0
Afghanistan,AFG,2020/2/9,0
Afghanistan,AFG,2020/2/10,0
Afghanistan,AFG,2020/2/11,0
Afghanistan,AFG,2020/2/12,0
Afghanistan,AFG,2020/2/13,0
Afghanistan,AFG,2020/2/14,0
Afghanistan,AFG,2020/2/15,0
Afghanistan,AFG,2020/2/16,0
Afghanistan,AFG,2020/2/17,0
Afghanistan,AFG,2020/2/18,0
Afghanistan,AFG,2020/2/19,0
Afghanistan,AFG,2020/2/20,0
Afghanistan,AFG,2020/2/21,0
Afghanistan,AFG,2020/2/22,0
Afghanistan,AFG,2020/2/23,8.33
Afghanistan,AFG,2020/2/24,8.33
Afghanistan,AFG,2020/2/25,8.33
Afghanistan,AFG,2020/2/26,8.33
Afghanistan,AFG,2020/2/27,8.33
Afghanistan,AFG,2020/2/28,8.33
Afghanistan,AFG,2020/2/29,8.33
Afghanistan,AFG,2020/3/1,27.78
Afghanistan,AFG,2020/3/2,27.78
Afghanistan,AFG,2020/3/3,27.78
Afghanistan,AFG,2020/3/4,27.78
Afghanistan,AFG,2020/3/5,27.78
Afghanistan,AFG,2020/3/6,27.78
Afghanistan,AFG,2020/3/7,27.78
Afghanistan,AFG,2020/3/8,27.78
Afghanistan,AFG,2020/3/9,27.78
Afghanistan,AFG,2020/3/10,27.78
Afghanistan,AFG,2020/3/11,27.78
Afghanistan,AFG,2020/3/12,27.78
Afghanistan,AFG,2020/3/13,27.78
Afghanistan,AFG,2020/3/14,38.89
Afghanistan,AFG,2020/3/15,38.89
Afghanistan,AFG,2020/3/16,38.89
Afghanistan,AFG,2020/3/17,38.89
Afghanistan,AFG,2020/3/18,41.67
Afghanistan,AFG,2020/3/19,41.67
Afghanistan,AFG,2020/3/20,41.67
Afghanistan,AFG,2020/3/21,41.67
Afghanistan,AFG,2020/3/22,41.67
Afghanistan,AFG,2020/3/23,41.67
Afghanistan,AFG,2020/3/24,50.93
Afghanistan,AFG,2020/3/25,59.26
Afghanistan,AFG,2020/3/26,59.26
Afghanistan,AFG,2020/3/27,59.26
Afghanistan,AFG,2020/3/28,67.59
Afghanistan,AFG,2020/3/29,67.59
Afghanistan,AFG,2020/3/30,67.59
Afghanistan,AFG,2020/3/31,67.59
Afghanistan,AFG,2020/4/1,67.59
Afghanistan,AFG,2020/4/2,67.59
Afghanistan,AFG,2020/4/3,67.59
Afghanistan,AFG,2020/4/4,67.59
Afghanistan,AFG,2020/4/5,78.7
Afghanistan,AFG,2020/4/6,78.7
Afghanistan,AFG,2020/4/7,78.7
Afghanistan,AFG,2020/4/8,78.7
Afghanistan,AFG,2020/4/9,78.7
Afghanistan,AFG,2020/4/10,78.7
Afghanistan,AFG,2020/4/11,78.7
Afghanistan,AFG,2020/4/12,84.26
Afghanistan,AFG,2020/4/13,84.26
Afghanistan,AFG,2020/4/14,84.26
Afghanistan,AFG,2020/4/15,84.26
Afghanistan,AFG,2020/4/16,84.26
Afghanistan,AFG,2020/4/17,84.26
Afghanistan,AFG,2020/4/18,84.26
Afghanistan,AFG,2020/4/19,84.26
Afghanistan,AFG,2020/4/20,84.26
Afghanistan,AFG,2020/4/21,84.26
Afghanistan,AFG,2020/4/22,84.26
